Contract,Region,Type,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
Sydney Metro Bus Contract 4,North Western Sydney,Adult,"1,110,352","1,184,057","1,125,875","1,074,581","1,169,415","956,656","954,863","1,092,166","1,272,825","985,917","1,315,568","1,194,946","1,205,369","1,324,087","1,237,537","1,262,603","1,329,103","1,067,240","1,134,814","1,256,731","1,386,691","1,270,690","1,521,955","1,339,381","1,419,096","1,504,929","1,361,620","1,472,392","1,500,351","1,209,117","1,287,612","1,423,293","1,537,588","1,354,814","1,607,939","1,210,243","1,361,697","1,311,109","1,221,992","1,219,546","1,196,701","990,130","1,017,330","1,100,505","791,830","199,649","274,398","370,994","428,406","393,782","426,251"
Sydney Metro Bus Contract 4,North Western Sydney,Adult Single Bus Trip 1,,"9,488","8,856","7,644","7,421","7,491","6,554","6,141","6,750","6,017","6,186","5,456","5,753","5,567","5,219","5,214","5,213","5,177","5,082","4,998","5,081","4,475","4,494","3,687","4,204","3,655","3,400","3,946","3,565","3,540","3,214","2,943","3,095","2,831","3,003","2,343",7,5,6,3,1,,4,1,9,10,5,8,10,4,6
Sydney Metro Bus Contract 4,North Western Sydney,Adult Single Bus Trip 2,,"6,053","5,456","4,741","4,413","4,602","3,927","3,758","3,826","3,643","3,687","3,241","3,245","2,830","2,747","2,792","2,663","2,710","2,615","2,356","2,619","2,383","2,138","2,017","2,430","2,163","1,845","2,031","2,107","1,960","1,866","1,689","1,827","1,741","1,757","1,191",6,2,1,,7,1,2,1,2,5,,,,1,1
Sydney Metro Bus Contract 4,North Western Sydney,Adult Single Bus Trip 3,,"17,279","15,631","14,919","13,113","14,428","12,895","10,352","11,337","11,471","11,018","10,612","9,774","8,968","8,881","9,196","8,694","9,960","9,030","7,800","8,313","7,277","6,908","6,168","5,935","5,477","5,388","5,853","5,510","6,551","5,587","5,000","5,185","5,159","4,487","3,065",8,4,2,1,2,1,,3,,2,2,2,1,,3
Sydney Metro Bus Contract 4,North Western Sydney,Child/Youth,"89,626","88,354","93,990","92,580","93,797","99,913","104,872","100,027","110,048","104,988","101,455","96,642","117,916","101,273","108,307","107,645","102,316","114,653","125,617","110,677","115,670","121,960","106,624","100,487","131,030","105,917","100,632","119,861","106,070","116,560","133,441","116,469","126,064","128,646","117,155","99,323","130,534","107,302","103,005","122,175","108,027","109,698","120,431","110,115","69,644","7,835","23,063","44,899","61,406","43,415","51,050"
Sydney Metro Bus Contract 4,North Western Sydney,Child/Youth Single Bus Trip 1,,"6,589","4,790","3,477","2,895","2,967","2,831","1,717","1,940","2,321","1,718","1,488","2,058","1,382","1,692","1,526","1,153","1,390","1,702",982,"1,034","1,295",851,703,"1,255",721,661,973,697,811,"1,021",507,595,779,532,398,,1,,,,,,,1,,,,,,
Sydney Metro Bus Contract 4,North Western Sydney,Child/Youth Single Bus Trip 2,,"3,231","3,145","2,363","1,546","2,304","2,585","1,041","1,079","2,091","1,069","1,022","1,782",911,"1,247","1,117",724,"1,316","1,516",668,670,"1,125",569,534,"1,087",530,495,845,513,712,868,389,459,821,376,268,1,,,,,,,,1,,,,,,
Sydney Metro Bus Contract 4,North Western Sydney,Child/Youth Single Bus Trip 3,,"5,248","3,830","3,279","1,979","3,155","3,498","1,376","1,694","2,692","1,474","1,600","2,175","1,178","1,638","1,544",967,"1,862","2,117",873,"1,067","1,587",938,892,"1,379",752,714,"1,007",652,"1,188","1,275",512,610,949,594,375,,,,,,,,,1,,,,,,
Sydney Metro Bus Contract 4,North Western Sydney,Concession,"143,585","199,464","155,529","157,658","128,830","91,637","85,978","109,169","231,413","148,339","217,191","147,030","123,925","225,608","168,989","180,773","145,565","101,753","99,526","122,423","229,880","173,372","224,865","154,979","138,376","235,799","175,284","196,212","153,835","110,667","107,955","146,329","250,542","189,710","205,721","130,328","129,776","166,854","134,497","145,966","121,144","90,563","85,362","114,497","110,227","11,501","20,026","35,334","48,415","52,363","55,974"
Sydney Metro Bus Contract 4,North Western Sydney,Employee,1,,,,,2,,1,2,1,,,,1,,,1,1,1,,,1,,1,19,"2,080","2,799","3,128","3,399","2,935","3,123","3,513","3,863","3,454","4,151","3,326","3,706","3,472","3,479","3,446","3,428","3,047","3,273","3,351","2,859","1,169","1,382","1,652","1,884","1,884","1,868"
Sydney Metro Bus Contract 4,North Western Sydney,Free Travel,"1,436","1,950","1,867","2,066","2,366","2,098","1,872","2,039","2,430","1,969","2,417","2,323","2,191","2,515","2,445","2,523","2,650","2,060","1,945","2,244","2,551","2,227","2,446","2,152","2,065","2,226","2,043","2,224","2,325","1,974","1,921","2,189","2,435","2,243","2,548","2,080","2,213","2,212","2,008","2,036","2,207","1,886","1,843","1,947","1,383",471,701,"1,010","1,030",906,947
Sydney Metro Bus Contract 4,North Western Sydney,School Student,"106,945","246,098","175,165","157,520","210,231","81,406","14,831","214,840","254,953","85,458","249,028","202,738","108,319","237,670","161,332","164,730","207,980","76,916","17,132","223,734","238,679","100,556","260,209","218,505","111,957","248,256","211,870","135,612","223,935","104,734","18,041","237,132","302,889","165,272","340,660","252,219","146,445","294,257","257,371","179,254","263,864","127,292","32,928","297,804","211,979","1,778","62,375","161,863","89,314","150,994","137,813"
Sydney Metro Bus Contract 4,North Western Sydney,Senior/Pensioner,"184,319","202,488","200,000","198,730","213,493","188,149","173,617","190,188","218,584","184,555","221,985","203,205","206,783","219,424","207,009","210,048","221,703","195,677","192,083","204,560","225,990","208,536","235,893","211,798","225,020","234,915","216,429","227,572","233,973","210,491","200,739","220,375","232,198","215,520","245,177","205,362","224,334","222,180","215,144","224,193","225,485","208,347","196,284","197,735","144,552","52,571","74,956","102,625","111,831","103,291","115,914"
Sydney Metro Bus Contract 4,North Western Sydney,On Demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,297","2,708","2,600","3,015","2,907","2,380","2,818","3,103","2,053",302,507,915,"1,252","1,164","1,390"
Sydney Metro Bus Contract 4,North Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,421","47,622","100,368","130,727","128,537","148,211","169,018","127,663","34,583","54,107","82,903","99,953","94,460","107,648"
Sydney Metro Bus Contract 4,North Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,3,1,18,,,,1,1,1,1,,1,5,1,,,,,
Sydney Metro Bus Contract 4,North Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,2,3,1,,,,,,1,10,8,8,10,7,8,11,6,25,59,35,36,27,31,49,22,36,18,22,21,36,45,54,23,20,14,18,10,15
Sydney Metro Bus Contract 5,Southern Sydney,Adult,"101,718","105,057","102,149","102,105","112,873","99,340","96,356","104,952","124,545","98,009","126,915","114,682","113,618","124,499","119,905","125,506","131,714","112,923","114,284","124,772","140,837","129,063","150,422","134,100","146,681","154,578","141,666","151,740","154,904","134,545","140,495","145,740","158,745","142,363","163,590","139,017","159,910","159,510","152,600","156,796","156,030","139,128","136,313","139,734","116,552","53,136","69,296","81,472","88,774","84,102","86,562"
Sydney Metro Bus Contract 5,Southern Sydney,Adult Single Bus Trip 1,,"6,316","5,464","5,107","5,584","4,908","4,560","4,565","5,060","4,277","4,929","4,430","4,619","4,502","4,479","4,389","4,316","4,252","4,206","4,058","4,454","4,309","4,334","3,867","4,228","4,111","3,917","3,977","4,122","3,930","4,102","3,829","4,112","3,781","3,939","3,507","3,826","3,528","3,200","3,066","2,820","2,678","2,539","2,019","1,639",3,1,,1,7,1
