Contract,Region,Type,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
Sydney Metro Bus Contract 9,Sydney,Day Pass without SAF,,,,,,,,,,,,,,2,7,16,,,,,1,8,29,12,9,12,19,12,41,53,61,45,70,60,56,67,63,67,65,143,150,111,96,103,81,47,26,30,41,23,31
Sydney Metro Bus Contract 10,Southern Sydney,Adult,"234,451","250,395","239,287","236,918","256,027","227,456","216,547","240,760","291,308","236,946","302,048","268,909","268,804","286,771","272,822","283,985","294,327","254,984","254,654","271,544","309,397","279,281","324,698","285,549","298,326","318,719","294,307","310,159","320,409","271,779","275,888","295,751","325,870","287,613","336,282","286,403","320,116","320,095","302,353","308,028","302,794","266,044","264,519","275,857","226,776","94,238","123,556","147,425","161,987","152,598","158,971"
Sydney Metro Bus Contract 10,Southern Sydney,Adult Single Bus Trip 1,,"8,886","7,924","7,248","7,207","7,119","6,237","6,054","6,457","5,935","6,321","5,354","5,682","5,023","5,140","4,858","5,037","4,815","4,972","4,709","5,203","4,748","4,811","3,973","4,146","4,069","3,454","3,839","3,674","3,440","3,708","3,435","3,532","3,375","3,454","2,928","3,270","2,878","2,423","2,386","2,128","2,111","2,013","1,545",856,8,8,2,27,3,3
Sydney Metro Bus Contract 10,Southern Sydney,Adult Single Bus Trip 2,,"3,584","3,089","2,601","2,738","2,517","2,241","2,286","2,206","2,162","2,073","1,780","2,059","1,837","1,697","1,636","1,571","1,750","1,586","1,515","1,774","1,508","1,476","1,218","1,392","1,314","1,263","1,274","1,211","1,200","1,242","1,264","1,264","1,173","1,063",929,"1,009",974,688,711,674,683,680,522,348,4,3,2,8,2,1
Sydney Metro Bus Contract 10,Southern Sydney,Adult Single Bus Trip 3,,552,447,339,393,375,331,249,288,242,277,223,250,228,184,201,194,246,180,189,196,172,150,142,174,180,123,159,111,145,125,103,132,121,123,99,140,136,96,85,61,71,71,64,33,,,,,,2
Sydney Metro Bus Contract 10,Southern Sydney,Child/Youth,"41,035","50,143","50,009","49,637","51,113","49,392","44,616","52,278","53,951","46,402","50,417","44,977","53,443","48,426","52,017","49,977","48,250","48,576","50,281","50,213","51,226","49,010","51,673","44,757","53,034","50,573","48,678","53,558","51,235","47,870","49,444","57,487","58,701","51,239","54,543","46,369","58,409","53,577","50,872","58,175","53,406","51,610","53,076","57,308","38,991","5,144","15,457","27,881","33,082","28,659","30,578"
Sydney Metro Bus Contract 10,Southern Sydney,Child/Youth Single Bus Trip 1,,"4,513","3,920","3,237","2,646","3,113","2,930","1,684","1,698","2,540","1,648","1,494","2,476","1,402","1,913","1,564","1,309","2,002","2,327","1,187","1,120","1,731","1,087",900,"1,520",970,998,"1,606","1,051","1,274","1,823",915,921,"1,349",805,725,"1,419",742,718,"1,055",700,815,"1,138",471,261,3,3,3,9,1,1
Sydney Metro Bus Contract 10,Southern Sydney,Child/Youth Single Bus Trip 2,,"1,564","1,524","1,250",923,"1,232","1,313",630,623,"1,061",629,664,"1,120",610,"1,007",802,576,978,"1,145",548,565,880,434,374,714,452,447,746,394,629,963,385,418,660,335,345,698,320,290,485,234,402,491,190,101,,,3,4,2,
Sydney Metro Bus Contract 10,Southern Sydney,Child/Youth Single Bus Trip 3,,194,210,210,113,260,229,60,63,154,63,76,155,51,99,97,43,114,148,62,76,119,48,41,91,40,38,68,49,72,108,39,36,78,38,24,115,37,27,55,38,46,75,25,21,2,,,,,1
Sydney Metro Bus Contract 10,Southern Sydney,Concession,"52,410","51,901","40,911","39,135","32,552","22,664","20,293","27,797","57,600","39,963","56,326","37,956","30,316","55,548","43,456","44,365","36,305","23,797","21,669","28,631","54,722","43,947","55,106","36,521","31,509","53,568","42,985","42,564","35,617","22,640","21,070","29,869","49,185","39,964","45,963","30,619","30,972","45,044","38,824","38,471","34,108","23,788","20,594","29,281","31,406","4,972","7,930","11,901","14,878","16,780","17,784"
Sydney Metro Bus Contract 10,Southern Sydney,Employee,,,,,,,,1,,,1,1,,,,,,,,,,,1,,3,731,"1,015","1,053","1,153",960,"1,065","1,140","1,294","1,108","1,368","1,168","1,275","1,345","1,222","1,271","1,407","1,135","1,180","1,401","1,252",541,635,660,745,751,893
Sydney Metro Bus Contract 10,Southern Sydney,Free Travel,966,"1,098","1,269","1,210","1,301","1,179","1,044","1,172","1,279","1,089","1,301","1,286","1,277","1,410","1,167","1,266","1,354","1,181","1,269","1,214","1,329","1,281","1,506","1,274","1,418","1,415","1,333","1,407","1,396","1,254","1,324","1,427","1,576","1,312","1,497","1,311","1,498","1,501","1,343","1,556","1,442","1,392","1,347","1,323","1,077",439,609,760,850,858,871
Sydney Metro Bus Contract 10,Southern Sydney,School Student,"65,516","220,189","164,256","156,004","201,794","74,117","11,901","190,970","217,540","69,168","207,357","161,561","79,674","175,969","116,676","121,705","150,327","50,669","11,115","159,157","173,079","71,504","209,239","171,633","90,132","196,846","169,976","115,333","188,428","81,812","12,974","221,342","241,640","122,483","244,943","184,734","112,138","216,685","186,019","133,589","189,164","88,173","23,078","218,768","161,495","1,092","49,523","135,555","72,335","133,125","116,930"
Sydney Metro Bus Contract 10,Southern Sydney,Senior/Pensioner,"140,185","153,533","148,814","147,694","158,957","149,020","133,586","142,519","158,437","137,291","164,910","149,684","148,574","154,600","149,073","150,649","160,252","146,983","142,394","146,352","159,962","144,220","165,518","144,096","155,130","161,226","148,872","154,590","161,383","149,430","143,674","151,259","161,145","148,701","170,385","142,174","160,307","158,972","150,899","162,379","161,678","153,932","142,613","143,357","113,768","49,784","71,468","90,546","96,755","90,493","99,694"
Sydney Metro Bus Contract 10,Southern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,"7,600","20,641","28,141","30,459","36,146","40,332","35,282","16,054","22,319","29,415","35,059","34,180","38,840"
Sydney Metro Bus Contract 10,Southern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,2,11,1,6,10,4,1,2,1,,,,2,1,1
Sydney Metro Bus Contract 10,Southern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,3,1,,,,,1,6,6,12,2,6,,3,9,2,9,6,7,10,17,1,15,17,23,14,27,6,21,42,19,5,5,4,10,13,4
Sydney Metro Bus Contract 12,Northern Sydney,Adult,"83,809","94,998","90,354","87,087","96,978","79,486","79,241","94,574","108,937","80,438","109,828","98,774","97,042","109,737","98,930","103,227","109,645","87,144","88,411","104,102","112,426","98,133","119,591","102,444","106,136","116,446","104,826","112,918","118,319","88,956","98,992","114,156","122,079","102,834","127,407","104,339","116,913","119,298","112,390","114,734","111,894","92,196","94,238","105,337","75,254","23,177","31,244","42,615","48,516","45,839","47,441"
Sydney Metro Bus Contract 12,Northern Sydney,Adult Single Bus Trip 1,,"1,579","1,257","1,141","1,010","1,073",907,971,"1,219","1,101","1,125","1,012",981,956,924,963,979,"1,018",987,773,840,844,822,613,742,644,625,694,588,649,787,699,732,658,628,531,651,562,406,416,276,307,301,249,113,,1,,3,,
Sydney Metro Bus Contract 12,Northern Sydney,Adult Single Bus Trip 2,,585,512,392,395,417,357,296,402,357,336,371,318,339,323,293,304,371,315,240,304,218,290,193,272,243,299,311,350,265,266,307,418,300,289,234,252,216,152,164,136,127,117,114,47,1,,2,,,
Sydney Metro Bus Contract 12,Northern Sydney,Adult Single Bus Trip 3,,45,28,25,25,33,18,20,18,20,22,27,29,22,15,28,14,34,34,21,23,16,18,10,20,16,17,22,22,9,13,8,18,17,11,7,10,8,5,2,6,1,4,3,1,,,,,,
Sydney Metro Bus Contract 12,Northern Sydney,Child/Youth,"25,578","35,205","32,041","30,911","33,343","27,406","23,358","33,771","35,886","25,978","34,193","31,537","30,470","33,980","32,313","32,349","33,834","29,411","27,392","34,237","33,354","28,990","33,879","29,888","31,535","35,003","31,976","33,850","34,124","29,404","30,168","39,108","37,390","31,739","37,096","30,854","35,971","35,816","34,794","37,782","36,817","32,186","31,226","36,874","23,476","1,485","7,273","18,412","20,215","18,368","20,141"
Sydney Metro Bus Contract 12,Northern Sydney,Child/Youth Single Bus Trip 1,,744,728,636,514,689,786,301,345,639,337,368,574,261,419,372,241,416,564,210,200,452,236,179,376,184,204,364,139,273,500,209,188,302,161,159,401,153,208,269,121,228,278,114,42,,,,,,
Sydney Metro Bus Contract 12,Northern Sydney,Child/Youth Single Bus Trip 2,,339,381,273,196,284,316,116,177,296,141,181,248,113,215,155,111,241,263,98,105,201,77,96,195,115,113,187,96,150,213,130,142,176,98,58,145,88,83,109,68,115,112,42,25,,,,,,
Sydney Metro Bus Contract 12,Northern Sydney,Child/Youth Single Bus Trip 3,,12,9,5,5,7,13,2,6,7,7,2,10,6,7,8,8,10,16,6,9,6,2,2,8,3,4,4,2,4,7,5,6,8,1,2,6,3,4,3,2,6,4,2,3,,,,,,
Sydney Metro Bus Contract 12,Northern Sydney,Concession,"14,085","17,429","13,913","13,563","11,853","8,367","7,534","10,246","19,557","12,675","18,730","13,540","11,509","19,157","14,869","16,317","13,968","9,148","8,552","11,291","19,121","14,629","19,463","13,652","12,371","19,963","15,084","17,533","14,700","9,902","9,666","13,774","21,791","16,918","20,544","15,012","14,828","20,413","16,433","18,252","14,879","10,586","9,641","13,773","13,128","1,533","2,522","4,508","6,459","7,045","6,869"
Sydney Metro Bus Contract 12,Northern Sydney,Employee,,,,,,1,,,,,,,,,,,,,,,,,,,,152,253,279,290,251,211,288,308,226,355,374,451,441,401,430,541,417,451,515,464,97,148,213,206,194,181
Sydney Metro Bus Contract 12,Northern Sydney,Free Travel,142,297,270,279,281,211,246,339,386,279,396,384,351,405,414,434,451,343,287,414,496,374,517,487,519,680,540,570,605,416,419,537,526,410,564,474,455,462,448,462,470,406,346,456,351,102,150,200,214,216,251
Sydney Metro Bus Contract 12,Northern Sydney,School Student,"56,735","152,396","112,543","105,859","131,423","52,723","7,842","129,682","156,230","50,977","155,764","127,847","65,495","150,508","102,286","105,230","132,684","50,474","9,971","133,763","142,250","57,780","158,401","135,177","67,530","157,127","135,961","89,650","144,925","64,088","11,665","159,919","174,666","87,843","189,994","148,589","84,781","171,310","152,929","108,499","156,956","75,282","20,312","161,702","115,663",583,"37,418","111,764","63,721","111,862","99,740"
Sydney Metro Bus Contract 12,Northern Sydney,Senior/Pensioner,"32,213","36,664","36,405","35,199","36,506","32,540","29,442","33,773","37,562","30,956","38,827","35,336","35,463","39,133","36,883","36,717","39,700","33,369","31,603","35,356","38,884","35,011","41,357","35,503","37,525","41,561","37,625","37,645","40,274","35,695","34,549","39,946","41,582","37,855","44,510","36,668","41,332","42,286","40,441","43,555","42,392","38,531","35,656","36,321","24,963","7,907","11,963","17,346","19,481","17,974","20,112"
Sydney Metro Bus Contract 12,Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,"2,920","6,743","9,186","9,149","10,672","12,872","10,830","3,272","5,372","7,695","9,767","9,652","10,696"
Sydney Metro Bus Contract 12,Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,1,,1,3,4,,1,7,3,4,8,,,,,,,
Sydney Metro Bus Contract 13,South Western Sydney,Adult,"263,240","279,834","263,035","260,152","281,606","249,621","237,053","264,926","313,532","253,071","322,019","289,933","297,416","322,635","303,667","311,883","325,287","274,887","278,410","298,716","343,573","317,485","359,814","319,022","340,783","364,258","338,287","359,647","370,747","313,951","317,905","337,601","372,574","332,048","383,862","328,857","365,899","371,174","354,388","353,865","348,329","294,639","289,961","304,891","264,590","126,139","157,380","183,077","200,305","188,753","194,599"
Sydney Metro Bus Contract 13,South Western Sydney,Adult Single Bus Trip 1,,"14,726","12,937","11,624","11,667","11,105","10,406","10,340","10,674","9,455","10,259","8,858","9,592","9,340","9,057","9,043","8,852","8,769","8,599","8,078","8,995","8,446","8,210","7,072","7,698","7,080","6,789","7,331","7,168","6,822","6,861","6,337","6,722","6,431","6,010","5,356","6,155","5,354","4,801","5,222","4,487","4,448","4,163","3,772","2,329",6,7,3,4,3,1
Sydney Metro Bus Contract 13,South Western Sydney,Adult Single Bus Trip 2,,"7,782","6,366","5,537","5,447","5,209","4,489","4,807","5,150","4,186","4,556","3,742","3,913","3,608","3,484","3,772","3,498","3,350","3,155","3,094","3,605","3,245","3,145","2,913","3,491","3,065","2,716","3,108","2,956","2,707","2,986","2,525","2,854","2,648","2,677","2,297","2,582","2,330","2,031","2,048","1,865","1,675","1,765","1,398",941,4,2,2,,,
Sydney Metro Bus Contract 13,South Western Sydney,Adult Single Bus Trip 3,,"1,002",789,645,665,689,583,593,594,476,497,413,483,394,400,388,331,363,362,332,497,429,468,421,472,415,453,502,442,421,428,363,397,358,356,351,387,329,254,195,211,222,236,196,131,,2,2,,,
Sydney Metro Bus Contract 13,South Western Sydney,Child/Youth,"34,179","42,795","43,742","44,668","46,828","43,004","40,909","47,383","49,575","43,318","47,184","40,736","48,826","43,786","45,551","45,712","44,733","41,810","43,488","47,834","48,849","45,187","44,943","40,075","48,304","45,968","44,039","49,285","47,665","43,246","45,193","51,407","51,777","46,853","48,100","41,200","50,660","47,744","45,761","51,170","47,423","42,227","41,648","46,184","34,542","6,536","15,460","24,842","28,841","24,201","25,453"
Sydney Metro Bus Contract 13,South Western Sydney,Child/Youth Single Bus Trip 1,,"5,513","4,617","3,721","3,192","3,293","2,925","1,733","1,916","2,446","1,851","1,714","2,608","1,646","1,994","1,846","1,518","1,870","2,117","1,205","1,330","1,932","1,259","1,125","1,856","1,241","1,200","1,601","1,223","1,354","1,592",998,"1,167","1,433","1,027","1,088","1,523","1,063","1,032","1,249",832,929,"1,133",633,430,4,,,,,3
Sydney Metro Bus Contract 13,South Western Sydney,Child/Youth Single Bus Trip 2,,"2,753","2,282","1,778","1,382","1,833","1,831",911,"1,022","1,333",882,849,"1,328",795,"1,017","1,054",743,"1,129","1,213",647,772,"1,098",643,623,"1,081",682,564,807,604,727,924,537,572,811,481,499,844,461,456,598,413,482,533,296,155,1,,1,,,
Sydney Metro Bus Contract 13,South Western Sydney,Child/Youth Single Bus Trip 3,,289,215,167,151,185,166,92,126,115,84,93,140,94,99,95,74,147,117,75,96,112,48,48,92,64,66,83,84,71,90,57,69,105,39,56,103,66,60,63,47,68,73,39,24,,,,,,
Sydney Metro Bus Contract 13,South Western Sydney,Concession,"76,144","62,938","51,314","45,393","43,425","33,870","31,434","42,662","75,704","50,139","68,588","45,985","48,390","70,389","54,895","54,121","48,930","35,108","32,155","39,543","72,771","57,767","71,017","48,191","47,919","69,393","55,990","52,069","49,243","34,703","32,212","39,800","66,999","54,355","63,071","43,270","49,333","61,963","52,324","48,647","46,450","33,588","29,381","38,282","42,714","7,738","11,864","17,037","20,761","22,180","23,313"
Sydney Metro Bus Contract 13,South Western Sydney,Employee,,,,,,1,,,,,,,,,,1,,,,1,1,,,2,,394,736,804,910,801,891,"1,079","1,178","1,094","1,295","1,106","1,122","1,225","1,073","1,164","1,183",986,"1,051","1,105",922,440,572,690,591,577,658
Sydney Metro Bus Contract 13,South Western Sydney,Free Travel,686,880,"1,048","1,078","1,154","1,019",986,"1,090","1,317","1,066","1,459","1,294","1,322","1,342","1,390","1,553","1,442","1,365","1,248","1,251","1,646","1,433","1,642","1,529","1,531","1,601","1,512","1,436","1,459","1,442","1,514","1,580","1,754","1,500","1,639","1,337","1,652","1,700","1,663","1,644","1,706","1,554","1,400","1,602","1,457",659,780,772,945,919,"1,025"
Sydney Metro Bus Contract 13,South Western Sydney,School Student,"45,215","136,851","101,113","98,892","130,477","51,629","7,339","118,174","143,882","48,486","144,221","118,236","61,170","131,638","88,885","91,423","114,782","40,449","7,441","112,255","123,560","51,380","142,399","117,419","62,197","135,611","118,535","78,478","128,969","59,983","7,522","136,563","153,841","79,037","162,079","124,028","77,192","140,261","121,258","85,411","125,434","58,635","12,156","126,316","96,096","1,209","33,187","83,889","44,306","78,954","69,600"
Sydney Metro Bus Contract 13,South Western Sydney,Senior/Pensioner,"181,546","201,421","195,472","197,407","207,338","194,184","178,736","186,838","210,496","180,812","214,944","193,695","197,792","204,738","195,088","197,307","203,764","186,396","183,439","188,939","205,724","188,874","210,494","186,806","199,021","209,643","194,102","200,533","208,079","191,148","185,487","194,311","207,364","190,056","215,939","186,129","205,631","207,751","197,666","210,052","208,087","192,148","183,700","180,536","150,524","74,322","100,182","123,526","129,253","120,585","130,037"
Sydney Metro Bus Contract 13,South Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,"7,547","19,573","28,145","28,499","34,016","38,456","35,877","18,320","25,992","33,134","38,795","38,491","42,140"
Sydney Metro Bus Contract 13,South Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,,,2,,,,4,7,1,2,,,,1,3,,,,3,,
Sydney Metro Bus Contract 13,South Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,6,3,,,,,,,,9,1,5,2,1,15,9,7,15,29,16,14,13,25,10,9,25,17,15,16,21,22,8,13,10,8,12,14
Sydney Metro Bus Contract 14,Northern Sydney,Adult,"200,819","226,151","213,022","205,515","227,850","192,524","187,152","207,945","238,947","187,020","242,278","217,785","216,861","240,338","224,987","229,649","243,119","200,526","205,766","230,624","242,155","221,657","261,294","225,061","238,043","255,583","231,741","253,799","265,286","226,013","240,297","259,026","276,743","243,639","293,822","252,331","279,211","280,579","265,754","265,699","260,114","222,325","223,350","235,106","173,516","52,649","70,725","94,938","111,250","105,428","114,883"
Sydney Metro Bus Contract 14,Northern Sydney,Adult Single Bus Trip 1,,"1,269","1,356","1,187","1,321","1,336","1,317","1,228","1,088","1,093","1,049",948,939,923,"1,074",990,967,"1,117","1,051",893,979,957,927,791,876,778,679,774,819,948,955,689,660,618,515,485,532,396,380,208,4,,,,,2,3,,9,2,6
Sydney Metro Bus Contract 14,Northern Sydney,Adult Single Bus Trip 2,,"1,329","1,261","1,059","1,261","1,319","1,088",968,"1,153","1,002",977,970,820,734,830,876,793,"1,017",772,721,762,752,691,607,613,558,574,600,580,674,693,496,513,488,437,364,407,341,283,152,,,,,,1,1,1,6,4,15
Sydney Metro Bus Contract 14,Northern Sydney,Adult Single Bus Trip 3,,"1,797","1,543","1,558","1,515","1,672","1,530","1,209","1,470","1,308","1,339","1,249","1,193","1,089","1,086","1,163","1,361","1,436","1,322","1,096","1,226","1,051","1,117",872,867,858,769,810,794,"1,041",954,788,763,824,703,613,706,622,479,214,2,,,,,3,,,,1,1
Sydney Metro Bus Contract 14,Northern Sydney,Child/Youth,"38,057","36,568","39,289","39,577","40,823","46,241","45,737","39,493","41,939","44,518","40,307","39,528","47,226","38,915","45,708","43,634","42,317","48,543","52,760","43,962","43,714","50,902","41,717","39,780","52,808","41,442","40,984","49,902","41,571","50,918","57,382","43,791","45,864","50,717","42,587","41,548","56,798","43,044","43,001","54,007","45,049","54,300","61,698","43,630","29,660","4,302","12,135","24,496","37,199","24,901","29,975"
Sydney Metro Bus Contract 14,Northern Sydney,Child/Youth Single Bus Trip 1,,828,742,801,547,781,876,401,437,731,391,419,700,390,547,534,370,680,796,364,363,646,340,258,536,319,383,522,282,489,544,202,216,387,168,209,322,144,111,147,,1,,,,,,,,,
Sydney Metro Bus Contract 14,Northern Sydney,Child/Youth Single Bus Trip 2,,880,927,799,574,891,949,476,509,858,382,464,649,411,592,568,373,702,849,349,398,647,331,326,535,255,279,488,277,443,511,180,224,416,161,147,285,137,132,133,,,,,,,,,,,
Sydney Metro Bus Contract 14,Northern Sydney,Child/Youth Single Bus Trip 3,,725,634,541,351,546,680,239,357,539,272,242,460,226,358,313,204,427,550,193,247,366,172,161,304,149,156,272,162,352,389,134,127,209,118,121,239,83,99,90,,,,,,,,,,,
Sydney Metro Bus Contract 14,Northern Sydney,Concession,"23,618","30,863","23,723","24,276","20,264","15,456","14,392","17,075","34,384","23,580","33,322","22,709","18,930","34,356","25,656","26,996","21,104","15,407","14,267","18,660","33,432","25,935","33,789","22,660","19,679","34,178","26,013","27,846","21,349","16,358","16,401","21,387","36,762","28,616","33,477","24,517","22,938","33,808","27,376","29,538","24,312","18,001","16,993","22,458","21,748","2,023","4,008","7,570","10,283","12,147","13,076"
Sydney Metro Bus Contract 14,Northern Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,104,172,206,287,182,187,183,228,168,199,156,226,160,183,229,196,140,145,185,121,28,34,38,42,70,128
Sydney Metro Bus Contract 14,Northern Sydney,Free Travel,214,315,299,341,396,281,273,355,414,336,464,334,378,470,406,447,461,380,410,462,466,468,535,514,467,470,460,479,506,464,426,537,523,525,675,592,582,571,566,610,606,544,491,611,421,80,134,244,261,320,314
Sydney Metro Bus Contract 14,Northern Sydney,School Student,"34,611","84,434","59,357","56,970","79,098","26,092","4,387","80,242","97,686","33,381","99,745","74,838","41,187","97,254","64,965","68,069","89,154","26,070","6,549","94,862","98,230","38,328","104,276","87,198","36,069","97,354","83,119","54,654","92,777","32,939","8,298","100,806","103,031","50,728","109,197","86,854","43,337","99,326","87,074","61,333","87,797","32,821","11,989","98,373","69,809",581,"22,891","62,925","33,630","63,440","56,911"
Sydney Metro Bus Contract 14,Northern Sydney,Senior/Pensioner,"42,259","47,754","47,164","47,474","51,611","45,309","41,054","43,635","50,161","42,687","52,288","46,610","47,595","51,489","47,838","49,121","52,449","45,172","43,303","47,686","50,339","47,500","53,250","47,509","50,147","52,479","48,142","50,842","52,557","47,437","45,445","51,001","54,006","49,593","56,569","49,564","54,968","55,267","52,608","56,098","56,703","52,090","48,507","48,655","34,211","9,858","15,363","23,703","26,273","24,757","28,117"
Sydney Metro Bus Contract 14,Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,762","20,116","30,221","32,874","38,380","42,595","33,652","10,142","16,267","24,875","30,403","29,619","33,484"
Sydney Metro Bus Contract 14,Northern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,,,,,1,,,
Sydney Metro Bus Contract 14,Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,1,,,,,,,2,4,4,,,,,,,3,1,,2,1,1,1,3,4,3,1,3,4,4,11,,1,,,,
Sydney Metro Bus Contract 15,South Western,Adult,"80,130","76,414","73,612","74,203","77,717","69,636","64,966","73,123","85,436","68,583","84,855","75,876","78,868","83,529","81,423","85,182","87,719","74,081","75,244","85,718","93,964","83,842","97,982","85,475","93,526","98,614","90,834","96,325","98,135","84,196","84,388","95,214","104,758","92,177","107,841","92,871","102,636","102,133","97,066","98,834","96,336","82,894","83,518","87,700","76,367","34,498","43,766","53,281","56,300","53,574","57,935"
Sydney Metro Bus Contract 15,South Western,Adult Single Bus Trip 1,,"10,013","9,549","9,479","9,688","9,826","9,568","9,075","9,705","8,871","9,538","8,833","9,782","8,986","8,712","9,488","9,319","9,053","9,089","8,939","8,936","8,633","9,030","7,490","8,248","7,211","6,559","7,281","7,614","7,553","7,715","7,293","7,884","7,010","7,023","6,263","7,597","6,847","5,788","6,150","5,798","5,941","5,510","5,022","3,605",1,2,,2,,
Sydney Metro Bus Contract 15,South Western,Adult Single Bus Trip 2,,"5,564","5,055","4,884","4,761","4,493","4,126","4,182","4,373","3,979","4,399","3,848","4,028","3,382","3,118","3,074","3,097","2,991","2,890","2,712","2,968","2,775","3,068","2,364","2,808","2,637","2,352","2,657","2,548","2,543","2,438","2,377","2,433","2,423","2,641","2,105","2,472","2,130","1,793","1,861","1,816","1,802","1,582","1,469",950,,1,,,1,
Sydney Metro Bus Contract 15,South Western,Adult Single Bus Trip 3,,901,736,699,738,687,664,677,740,616,825,632,685,627,546,586,552,558,551,498,608,584,588,317,442,488,460,532,465,473,423,416,452,456,492,392,442,403,381,332,269,331,354,282,184,,,,,,
Sydney Metro Bus Contract 15,South Western,Child/Youth,"16,836","19,654","19,977","20,650","20,109","21,187","21,643","22,286","25,453","21,835","23,314","21,007","25,820","22,532","25,797","26,133","26,662","25,154","24,647","30,134","32,177","27,055","31,145","27,590","29,152","30,407","26,869","28,632","28,898","24,244","24,698","28,663","29,223","25,040","27,163","23,885","28,209","26,708","25,468","27,801","26,436","22,952","23,450","27,488","20,303","5,157","10,837","16,329","17,855","16,011","16,950"
Sydney Metro Bus Contract 15,South Western,Child/Youth Single Bus Trip 1,,"4,310","4,342","3,954","3,483","4,171","4,346","2,936","3,125","3,832","2,883","2,760","4,479","2,656","3,739","3,404","3,246","3,998","4,120","2,781","3,086","3,482","2,662","2,486","3,745","2,585","2,362","3,124","2,662","2,815","3,571","2,146","2,263","2,845","2,065","1,966","3,175","2,070","2,029","2,508","2,080","2,364","2,563","1,738","1,228",,3,,,,
Sydney Metro Bus Contract 15,South Western,Child/Youth Single Bus Trip 2,,"2,031","1,910","1,833","1,418","2,046","2,265","1,263","1,420","2,039","1,104","1,185","2,244","1,120","1,527","1,432","1,214","1,685","1,819","1,050","1,176","1,508",989,"1,027","1,721","1,033",972,"1,348",956,"1,279","1,448",819,898,"1,273",780,846,"1,287",759,782,"1,004",766,"1,050","1,249",611,417,,,,,,
Sydney Metro Bus Contract 15,South Western,Child/Youth Single Bus Trip 3,,306,312,307,169,378,510,209,210,322,162,197,314,111,203,173,113,292,373,124,132,283,130,130,206,109,167,236,143,199,367,140,192,220,112,79,161,121,137,211,99,185,220,127,86,,,,,,
Sydney Metro Bus Contract 15,South Western,Concession,"43,454","24,623","19,490","19,478","15,317","12,036","10,790","13,783","26,157","17,937","23,701","15,990","16,694","24,732","19,285","20,043","16,132","12,156","11,268","14,123","25,485","20,570","26,695","16,871","17,858","26,337","21,095","19,264","15,919","11,150","10,823","13,597","24,328","19,727","24,646","15,929","15,685","22,842","19,047","18,613","14,481","10,325","9,287","12,561","15,509","3,069","4,342","5,942","7,094","7,196","7,171"
Sydney Metro Bus Contract 15,South Western,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,387,600,672,699,621,670,839,814,710,699,699,872,868,864,820,818,732,854,939,853,597,603,664,727,657,681
Sydney Metro Bus Contract 15,South Western,Free Travel,685,851,886,880,831,797,716,803,920,766,914,717,752,857,852,984,999,827,997,831,918,860,"1,044",921,967,"1,068",883,937,986,922,989,948,"1,063","1,016","1,056",867,"1,121","1,117","1,018","1,190","1,058","1,000",972,878,662,315,434,541,687,715,690
Sydney Metro Bus Contract 15,South Western,School Student,"31,033","75,284","53,234","50,290","64,509","23,368","3,520","65,626","86,080","29,897","79,724","60,600","30,774","72,152","60,974","63,235","86,829","31,377","7,622","129,588","150,871","67,131","164,218","129,922","67,000","150,272","129,309","85,090","137,956","58,292","8,822","138,694","148,722","76,214","152,794","118,293","68,709","133,906","115,341","77,506","111,499","50,000","12,730","120,794","92,250","1,221","31,042","80,750","42,030","75,923","66,090"
