Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
South East Sydney,Employee,"42,820","49,142","49,010","47,159","52,140","48,858","43,330","46,874","53,985","43,683","53,829","49,268","49,124","51,665","46,851","47,509","49,219","44,061","41,188","44,172","47,796","45,825","53,347","47,601","49,548","51,343","47,472","52,703","55,176","46,505","47,516","51,297","55,439","50,146","61,594","53,011","57,553","57,107","55,223","58,122","58,043","50,985","49,852","50,885","45,021","26,429","32,514","35,352","37,983","35,467","37,632"
South East Sydney,Free Travel,"4,739","6,446","6,427","6,084","6,650","5,877","5,248","5,895","6,779","5,561","6,716","6,321","6,235","6,929","5,711","5,893","6,310","5,565","5,181","5,556","5,929","5,942","6,725","5,799","6,594","6,859","6,273","7,375","7,662","5,915","6,155","6,692","7,128","6,269","7,419","6,790","7,560","7,606","7,119","7,884","7,489","6,547","6,425","7,049","5,126","1,637","2,359","3,463","3,817","3,538","4,084"
South East Sydney,School Student,"72,369","171,232","124,366","115,269","152,614","62,428","10,495","155,265","182,612","63,008","185,315","152,021","79,706","176,439","117,224","115,381","146,245","55,404","12,237","153,184","161,879","67,841","186,156","154,573","77,247","179,613","155,625","99,384","168,429","74,772","13,622","176,732","190,185","97,885","217,088","164,403","95,632","190,751","171,179","115,340","171,494","83,725","21,138","177,074","127,344","1,266","50,432","134,814","75,109","129,841","125,747"
South East Sydney,Senior/Pensioner,"425,179","478,079","470,868","464,795","508,918","485,480","426,432","445,371","506,606","449,173","505,792","468,581","471,775","498,905","475,199","491,792","502,185","485,194","447,643","468,853","486,162","466,364","520,894","467,958","486,953","506,312","468,524","505,534","523,421","468,813","458,011","483,951","499,687","462,082","536,575","465,474","492,968","495,229","486,321","521,111","530,295","478,612","453,074","446,278","310,081","106,758","170,076","233,706","261,234","232,978","265,018"
South East Sydney,Sgl Trip Rail Adult,"9,115","38,489","40,215","39,610","44,367","51,040","42,179","38,877","44,281","38,670","35,669","36,823","40,092","43,164","41,994","46,665","47,497","54,181","45,404","43,880","45,737","40,394","41,472","40,228","37,817","38,567","36,260","41,880","43,350","38,917","34,427","29,590","33,018","27,548","32,111","26,832","25,768","25,404","23,467","23,537","24,060","25,712","23,502","20,377","12,683","2,338","4,015","6,144","6,998","4,857","5,844"
South East Sydney,Sgl Trip Rail Child/Youth,"2,525","7,702","10,108","9,427","9,007","14,520","13,180","7,605","9,184","12,213","8,361","9,309","13,343","10,468","12,098","11,450","9,596","15,353","14,325","9,461","10,067","13,179","9,605","10,479","12,817","9,445","9,298","11,290","9,374","11,600","12,410","6,887","7,871","9,743","8,111","8,817","10,247","7,535","7,370","8,551","6,823","10,194","11,282","6,372","4,417","1,584","2,854","3,793","5,634","3,318","4,187"
Western Sydney,Adult,"335,951","372,709","358,049","349,051","362,326","322,395","306,808","333,810","393,522","329,044","401,137","377,855","350,467","417,174","376,426","407,891","413,545","403,279","355,946","407,412","451,455","504,958","480,176","470,595","484,141","520,653","480,011","513,278","475,774","507,801","443,304","424,774","539,652","472,159","517,679","508,702","561,574","524,436","523,202","568,761","566,699","427,633","421,240","413,465","368,869","112,667","155,028","276,962","243,046","207,021","225,703"
Western Sydney,Child/Youth,"13,530","12,060","14,349","15,450","13,615","19,870","21,600","12,905","14,727","19,783","12,476","15,732","19,117","13,157","17,306","17,954","15,538","24,702","22,857","15,150","17,926","26,412","14,284","18,125","23,153","16,205","17,408","20,820","16,114","29,006","26,971","14,641","19,212","23,475","15,253","20,290","25,767","15,836","17,117","25,366","20,067","23,659","24,863","13,846","10,105",689,"3,344","9,756","11,832","6,039","8,448"
Western Sydney,Concession,"43,237","52,604","41,002","39,062","30,756","23,573","21,631","28,428","58,477","41,131","54,344","36,720","31,190","58,907","41,992","45,398","34,800","29,105","23,981","31,409","60,797","61,181","60,352","43,370","39,351","66,978","50,203","51,177","35,882","33,746","27,272","33,942","68,148","54,193","53,896","45,092","47,280","59,298","50,701","57,314","46,893","28,919","26,365","34,067","41,451","3,279","6,532","16,697","16,537","16,308","19,152"
Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,"4,862","5,489","5,599","7,325","7,405","10,298","9,717","10,226","13,047","18,882","37,968","47,256","41,983","47,009","49,215","44,779","11,742","20,340","42,845","38,890","34,917","41,778"
