Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Northern Sydney,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,434","10,084","6,249","2,548",148,683,"1,279","2,954","1,876","1,953"
Northern Sydney,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,629","6,423","13,561","12,099",885,"1,881","4,063","5,762","7,523","11,115"
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,934","15,109","15,443","10,894","2,632","4,776","8,704","12,411","14,067","16,035"
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,5,4,1,3
Northern Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,353,267,174,128,131,149,348,466,453
Northern Sydney,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,222,155,99,17,41,76,119,90,115
Northern Sydney,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,111","1,600","18,116","12,780",10,"6,502","18,047","9,675","13,989","14,776"
Northern Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,537","17,556","13,522","8,859","2,993","4,818","7,466","9,222","9,470","10,470"
Northern Sydney,Sgl Trip LR Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,310,256,123,5,19,31,35,21,17
Northern Sydney,Sgl Trip LR Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,129,43,28,,6,8,25,6,6
Northern Sydney,Adult,"142,729","144,980","142,979","144,734","137,780","135,508","40,915","147,826","176,411","160,692","167,423","172,396","166,395","155,171","152,040","172,302","180,217","181,532","13,441","148,706","168,977","158,685","168,971","178,211","170,433","172,181","170,530","171,420","173,425","171,546","94,198","162,864","176,689","149,665","153,071","169,391","171,850","173,298","142,953","160,342","156,500","148,966","134,343","120,674","78,198","14,650","21,237","34,250","43,371","37,682","39,316"
Northern Sydney,Child/Youth,"9,927","6,835","8,033","7,432","5,262","7,822","3,749","6,743","7,449","11,577","6,386","9,568","12,282","6,683","7,967","8,437","7,887","11,137",648,"7,378","7,755","11,550","6,998","9,750","12,943","8,153","8,315","8,826","8,091","10,677","7,773","8,321","8,256","10,804","6,425","10,353","14,093","8,656","6,518","10,947","9,492","10,667","14,949","5,489","2,899",130,522,"1,344","3,284","1,359","2,103"
